modelo,PR_AUC,ROC_AUC,P@10,R@10,P@20,R@20,P@50,R@50,Lift@10%,acierto@20
Baseline densidad,0.07959416089441758,0.7865489701555276,0.1,0.02564102564102564,0.05,0.02564102564102564,0.1,0.1282051282051282,2.066051282051282,1
Baseline pob. k1,0.09190013963597826,0.7537620849096259,0.2,0.05128205128205128,0.15,0.07692307692307693,0.12,0.15384615384615385,3.099076923076923,3
Baseline POIs k1,0.0622314372909953,0.6879361076082388,0.1,0.02564102564102564,0.05,0.02564102564102564,0.06,0.07692307692307693,2.324307692307692,1
Regresion logistica,0.10124502793067842,0.7866540563261875,0.1,0.02564102564102564,0.15,0.07692307692307693,0.14,0.1794871794871795,3.357333333333333,3
Random Forest,0.1004408555551884,0.7774905422446406,0.2,0.05128205128205128,0.15,0.07692307692307693,0.12,0.15384615384615385,3.8738461538461535,3
XGBoost,0.08218794485234825,0.7660992013451029,0.1,0.02564102564102564,0.05,0.02564102564102564,0.08,0.10256410256410256,3.099076923076923,1
Ensamble (rank avg),0.10867365307825544,0.7925704077343422,0.3,0.07692307692307693,0.15,0.07692307692307693,0.12,0.15384615384615385,3.8738461538461535,3
