modelo,PR_AUC,ROC_AUC
LR,0.198888107163563,0.8751134316787887
RF,0.2300957449636159,0.9289131079139971
XGB,0.272779830856352,0.9215349187167969
ENS,0.25496847812142004,0.9193734467270116
