RUC,RAZON_SOCIAL,UBIGEO,DIRECCION,ES_ANEXO,DISTRITO,TIPO_PERSONA
20609510944,JAVAL TRANSPORTES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040109,CAL. ROSASPATA 405 CERCADO DE MARIANO MELGAR URB.,0,MARIANO MELGAR,JURIDICA
20609526654,COMERCIAL YEFERLU E.I.R.L.,040101,CAL. PIEROLA 425 2-3 AMPLIACION C.C. DON. MAXI ----,0,AREQUIPA (CERCADO),JURIDICA
20609542901,R & J DISTRIBUIDORA MINING SAFETY E.I.R.L.,040101,CAL. VIRGEN DEL PILAR SN C.C. DON MANUEL PUERTA 1 ----,0,AREQUIPA (CERCADO),JURIDICA
20609543567,DISTRIBUIDORA AVICOLA FRESQUITOS E.I.R.L.,040122,CAL. GONZALES PRADA 104,0,SOCABAYA,JURIDICA
20609577828,DISTRIBUIDORA S´TRAGOS AQP E.I.R.L.,040129,AV. VIDAURRAZAGA S/N 24-A EL PERAL FND.,0,JOSE LUIS BUSTAMANTE Y RIVERO,JURIDICA
20609599562,DISTRIBUIDORA Y COMERCIALIZADORA DE MATERIALES DE CONSTRUCCION DEL PERU E.I.R.L.,040103,B 2 SAN MIGUEL URB.,0,CAYMA,JURIDICA
20609612321,PJD COMPAÑIA DISTRIBUIDORA S.A.C.,040103,OTR. COMITE 02 Ñ 11 VILLA CONTINENTAL P.J.,0,CAYMA,JURIDICA
20609643511,ECO MARKET ANDREA E.I.R.L.,040104,A 54 RIO SECO VILLA FAUCETT ZO P.J.,0,CERRO COLORADO,JURIDICA
20609645556,GARANTIA EN MANTENIMIENTO Y CONSTRUCCION SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040123,OTR. COMITE 3 D 1C SAN JOSE P.J.,0,TIABAYA,JURIDICA
20609648415,DISTRIBUIDORA AQP MAFER'S E.I.R.L.,040101,CAL. OCTAVIO MUÑOZ NAJAR 147 206,0,AREQUIPA (CERCADO),JURIDICA
20609655772,HERMANOS SUCRE CAT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,040103,X 2 BUENOS AIRES DE CAYMA ZN. URB.,0,CAYMA,JURIDICA
20609658399,FERRETERIA COMERCIAL PUMA E.I.R.L.,040104,AV. YURA F 18 VILLA AVIACION URB.,0,CERRO COLORADO,JURIDICA
20609677733,COMERCIAL EL PUNTO FERRETERO DEL SUR S.R.L.,040104,OTR. ZONA B B 1 ASOC. EL CRUCERO LA ESTRE OTR.,0,CERRO COLORADO,JURIDICA
20609679108,DISTRIBUIDORA SIL LOGISTICA Y SERVICIOS S.A.C.,040104,F 14 VICTOR ANDRES BELAUNDE P.J.,0,CERRO COLORADO,JURIDICA
20609687887,DISTRIBUIDORA GALFAR E.I.R.L.,040122,C 31 VILLA ORFELINA ASC.,0,SOCABAYA,JURIDICA
